Latitude,Longitude,축종,발생두수,ID
37.6147161,127.8863288,벌-재래종,4,3597
37.9993658,128.3250403,벌-재래종,3,7126
38.0466608,128.3851271,벌-재래종,3,7126
37.8140141,128.1452309,벌-재래종,3,1048
37.3411588,126.7220994,벌-재래종,2,7463
37.9429407,127.4806675,벌-재래종,3,1630
37.9429407,127.4806675,벌-재래종,6,1630
35.5646226,127.1343061,벌-재래종,4,176
36.3321473,128.8067483,벌-재래종,3,2714
37.7267059,126.9116461,벌-재래종,10,4805
34.7026119,127.1659258,벌-재래종,1,1550
34.3936351,126.5418454,벌-재래종,1,2832
37.6020683,127.9591221,벌-재래종,4,4266
37.2140877,129.3262249,벌-개량종,51,8877
36.4785066,129.1679121,벌-재래종,75,2743
36.9635809,127.9320017,벌-재래종,4,4249
37.8708318,126.9915122,벌-개량종,1,4826
36.3231567,128.8736824,벌-재래종,2,6118
36.3321473,128.8067483,벌-재래종,2,2714
35.2867911,126.5237272,벌-재래종,1,749
35.0878407,127.6114145,벌-재래종,1,7574
35.0878407,127.6114145,벌-재래종,1,7574
35.1849378,127.3547925,벌-재래종,1,193
36.4785066,129.1679121,벌-재래종,13,2743
37.3411588,126.7220994,벌-재래종,5,7463
37.5558764,127.5817911,벌-재래종,3,2517
37.2772238,128.1975847,벌-재래종,1,652
35.121549,127.3677518,벌-재래종,1,193
35.6618261,129.4303147,벌-개량종,50,723
36.3231567,128.8736824,벌-재래종,2,6118
36.4571359,129.3230741,벌-재래종,115,1925
35.2053772,128.1165386,벌-재래종,150,7631
36.7047911,128.8286576,벌-재래종,8,3704
38.0375603,128.5476157,벌-재래종,9,2678
37.4048732,128.1453026,벌-재래종,1,6568
36.2648464,127.404001,벌-재래종,2,198
36.3321473,128.8067483,벌-재래종,2,2714
37.3526611,127.8023805,벌-재래종,29,4213
35.0389006,126.9988465,벌-개량종,1,6809
34.7040567,127.1445908,벌-재래종,1,1550
34.7040567,127.1445908,벌-재래종,1,1550
37.9529831,128.1965588,벌-재래종,4,654
37.9529831,128.1965588,벌-재래종,1,654
37.8059381,127.8497773,벌-재래종,4,5131
37.7120915,127.7440552,벌-재래종,4,4190
37.5933552,128.1664828,벌-재래종,3,7082
37.8228476,127.9549594,벌-재래종,7,636
37.8059381,127.8497773,벌-재래종,1,5131
35.6899474,127.3178602,벌-재래종,6,6868
37.3728454,128.4052788,벌-재래종,2,6601
35.6019213,127.1434343,벌-재래종,23,176
37.5631941,128.3127372,벌-재래종,2,7113
34.4439909,126.5877817,벌-재래종,1,7453
37.3411588,126.7220994,벌-재래종,1,7463
37.5710458,127.6416006,벌-재래종,9,2158
37.8173563,128.0004157,벌-재래종,3,636
37.7410335,128.0839616,벌-재래종,1,6562
38.1922602,128.1994956,벌-재래종,3,2253
37.9478221,128.142228,벌-재래종,1,1775
37.7072744,128.9161633,벌-개량종,60,2722
37.7120915,127.7440552,벌-재래종,1,4190
37.6518777,127.74339,벌-재래종,20,975
37.6324523,127.7520913,벌-재래종,5,975
36.6536828,128.9347622,벌-재래종,1,3704
38.0834935,128.4610259,벌-재래종,6,2678
37.7953885,128.0466435,벌-재래종,3,6562
37.4405188,127.8508915,벌-재래종,51,4213
37.5066872,127.4717254,벌-재래종,2,1450
35.5988084,127.3825703,벌-재래종,50,8433
37.50515,128.6013888,벌-재래종,3,2684
36.3321473,128.8067483,벌-재래종,6,2714
37.4392596,129.1784042,벌-개량종,40,1435
37.2140877,129.3262249,벌-개량종,20,8877
37.2340491,129.1662579,벌-개량종,80,6135
37.3608544,129.1989029,벌-개량종,150,7725
35.2714721,127.8166414,벌-재래종,2,7011
37.5847694,128.6407562,벌-개량종,40,1140
37.5847694,128.6407562,벌-개량종,30,1140
37.5847694,128.6407562,벌-개량종,29,1140
37.4351307,128.1088047,벌-재래종,3,6568
36.6966455,128.969731,벌-재래종,1,8859
37.0060873,128.9653695,벌-재래종,1,1891
36.9225591,128.8623667,벌-재래종,1,1882
37.5631941,128.3127372,벌-재래종,1,7113
37.5631941,128.3127372,벌-재래종,1,7113
37.2534286,128.726245,벌-재래종,4,1875
38.1681838,128.1786506,벌-재래종,5,5977
35.6990304,127.590711,벌-재래종,18,4118
37.7356068,128.2378592,벌-재래종,4,3640
37.7376414,128.875436,벌-개량종,20,6653
35.2202574,127.3881185,벌-재래종,1,6888
37.3728454,128.4052788,벌-재래종,27,6601
37.2220583,128.8218722,벌-재래종,5,7701
37.2597658,128.8729253,벌-재래종,15,6663
34.7026119,127.1659258,벌-재래종,1,1550
34.7026119,127.1659258,벌-재래종,1,1550
34.4608019,127.4680798,벌-재래종,1,213
35.1749839,126.5409272,벌-재래종,3,447
34.7026119,127.1659258,벌-재래종,1,1550
34.7026119,127.1659258,벌-재래종,1,1550
37.6544392,128.7821778,벌-재래종,1,6653
37.7267059,126.9116461,벌-재래종,1,4805
34.9730223,127.1427854,벌-재래종,1,8743
37.5306149,127.5850392,벌-재래종,3,2136
34.7026119,127.1659258,벌-재래종,1,1550
35.8867998,128.4910476,벌-재래종,120,5601
35.8867998,128.4910476,벌-재래종,120,5601
37.9529831,128.1965588,벌-재래종,1,654
37.245738,129.0698695,벌-재래종,3,1433
38.0087006,128.1617215,벌-재래종,4,5984
37.5893415,127.4947634,벌-재래종,2,4110
37.5893415,127.4947634,벌-재래종,1,4110
37.763285,127.5286119,벌-재래종,10,926
36.4837622,128.8900474,벌-재래종,1,7407
37.0060873,128.9653695,벌-재래종,1,1891
37.0060873,128.9653695,벌-재래종,1,1891
36.6648281,127.6731019,벌-재래종,2,6490
36.9635809,127.9320017,벌-재래종,5,4249
35.3338895,129.1732717,벌-재래종,3,1437
34.7015684,127.0514942,벌-재래종,1,1533
37.50515,128.6013888,벌-재래종,3,2684
37.6011843,128.2265769,벌-재래종,1,656
36.3645223,129.3873596,벌-재래종,110,431
35.1849378,127.3547925,벌-재래종,1,193
37.4431918,128.8718084,벌-재래종,2,701
37.0060873,128.9653695,벌-재래종,2,1891
36.9786453,128.85124,벌-재래종,2,1882
37.3728454,128.4052788,벌-재래종,2,6601
37.6361022,128.3700029,벌-재래종,1,5632
37.6110372,128.0775996,벌-재래종,1,8128
37.3675393,128.1159262,벌-재래종,2,6568
37.6192937,127.5376046,벌-재래종,1,2517
36.8072658,127.4319402,벌-개량종,400,195
37.6622733,128.5594295,벌-재래종,6,7167
37.4515774,127.654413,벌-재래종,4,5915
38.0834935,128.4610259,벌-재래종,12,2678
37.6784735,127.9151229,벌-재래종,2,3597
36.3735292,128.9007835,벌-재래종,2,7407
36.5211412,128.555425,벌-재래종,1,3691
35.4196814,127.6117698,벌-개량종,15,500
34.7040567,127.1445908,벌-재래종,1,1550
34.7040567,127.1445908,벌-재래종,1,1550
38.1453645,128.1335981,벌-재래종,3,648
37.6361022,128.3700029,벌-재래종,2,5632
36.3085008,128.2774354,벌-개량종,300,7107
35.0160601,127.0127779,벌-재래종,1,6809
34.7040567,127.1445908,벌-재래종,1,1550
37.5558764,127.5817911,벌-재래종,4,2517
37.5306149,127.5850392,벌-재래종,10,2136
37.5306149,127.5850392,벌-재래종,8,2136
34.4668234,126.8357079,벌-재래종,1,4777
37.7120915,127.7440552,벌-재래종,9,4190
36.630742,128.9132417,벌-재래종,1,3704
37.5307719,128.7275235,벌-재래종,31,2712
37.0565536,128.7909086,벌-재래종,5,4400
36.5789495,128.7192854,벌-재래종,8,1877
34.7015684,127.0514942,벌-재래종,1,1533
35.1849378,127.3547925,벌-재래종,1,193
35.0117982,126.8818047,벌-재래종,1,101
34.7026119,127.1659258,벌-재래종,1,1550
34.7026119,127.1659258,벌-재래종,1,1550
34.7026119,127.1659258,벌-재래종,1,1550
37.2132563,129.0268626,벌-개량종,180,5297
37.1922511,128.8706731,벌-재래종,2,1166
38.1002164,127.749467,벌-개량종,50,4212
37.2764225,127.355345,벌-재래종,1,7538
37.3675393,128.1159262,벌-재래종,1,6568
35.7397064,127.1401714,벌-재래종,38,4041
37.8303719,127.8955118,벌-재래종,5,636
36.9448146,128.9381286,벌-재래종,1,3151
36.3735292,128.9007835,벌-재래종,2,7407
37.017043,128.8162766,벌-재래종,4,1162
35.5640875,127.2965426,벌-개량종,300,176
35.5640875,127.2965426,벌-개량종,30,176
37.3437715,127.1194183,벌-재래종,5,802
35.1749839,126.5409272,벌-재래종,2,447
34.7026119,127.1659258,벌-재래종,1,1550
36.4518737,129.4294626,벌-재래종,20,431
37.7770615,128.0156889,벌-재래종,2,8495
37.6011843,128.2265769,벌-재래종,2,656
36.7047911,128.8286576,벌-재래종,29,3704
36.8744093,128.8887244,벌-재래종,4,1887
36.6932767,128.7045904,벌-재래종,5,3704
36.139544,127.7420999,벌-개량종,58,507
34.5278304,126.8366131,벌-재래종,1,2005
36.8494311,127.6500498,벌-개량종,200,4171
36.9694817,128.7708492,벌-재래종,7,3142
34.7128412,127.1870253,벌-재래종,1,2054
37.9529831,128.1965588,벌-재래종,2,654
37.5558764,127.5817911,벌-재래종,3,2517
36.0302856,127.9284691,벌-재래종,7,2217
34.7015684,127.0514942,벌-재래종,1,1533
37.5019304,128.7080385,벌-재래종,10,2712
37.753529,127.6204995,벌-재래종,3,255
37.763285,127.5286119,벌-재래종,1,926
37.6139354,128.1511451,벌-재래종,10,7082
38.1453645,128.1335981,벌-재래종,1,648
35.6030592,127.596053,벌-재래종,16,597
34.7015684,127.0514942,벌-재래종,2,1533
37.4048732,128.1453026,벌-재래종,2,6568
37.017043,128.8162766,벌-재래종,3,1162
35.4993716,128.3894438,벌-개량종,380,8550
37.2082712,129.2480702,벌-재래종,10,8877
36.6178391,127.60997,벌-재래종,15,269
37.6118996,128.3758853,벌-재래종,1,5632
35.0987453,126.6155714,벌-재래종,2,4510
37.763285,127.5286119,벌-재래종,5,926
37.5107169,127.6332539,벌-재래종,6,2136
36.0302856,127.9284691,벌-재래종,5,2217
36.8006931,127.1224079,벌-재래종,9,141
37.7803639,127.9135629,벌-재래종,6,636
37.7803639,127.9135629,벌-재래종,10,636
37.7803639,127.9135629,벌-재래종,5,636
37.6644484,128.4015336,벌-재래종,1,5632
34.7015684,127.0514942,벌-재래종,1,1533
36.372711,127.1396642,벌-재래종,5,478
38.2264721,128.2324778,벌-재래종,4,2253
37.2919744,128.7445776,벌-재래종,12,7183
35.2714721,127.8166414,벌-재래종,13,7011
37.539564,128.1012695,벌-재래종,2,7082
37.4048732,128.1453026,벌-재래종,1,6568
37.4351307,128.1088047,벌-재래종,8,6568
35.7511633,128.6213796,벌-개량종,1,531
34.7015684,127.0514942,벌-재래종,1,1533
35.1378377,128.5161745,벌-재래종,2,8841
35.123976,128.805758,벌-재래종,1,8228
35.1183254,128.5820345,벌-재래종,21,8841
37.6644484,128.4015336,벌-재래종,2,5632
37.3675393,128.1159262,벌-재래종,1,6568
35.0389006,126.9988465,벌-재래종,1,6809
37.9429407,127.4806675,벌-재래종,1,1630
34.9918255,127.1324743,벌-재래종,1,8743
34.9916145,126.9880128,벌-개량종,1,6809
34.9918255,127.1324743,벌-재래종,1,8743
36.7877626,129.2030091,벌-재래종,62,718
36.8120935,128.6416647,벌-개량종,1,401
36.9786453,128.85124,벌-재래종,3,1882
36.9786453,128.85124,벌-재래종,25,1882
36.7858857,126.4598336,벌-재래종,13,2796
35.8134957,127.2866581,벌-재래종,11,2472
37.4332607,128.143289,벌-재래종,2,6568
37.539564,128.1012695,벌-재래종,5,7082
37.7754348,128.1419051,벌-재래종,2,6562
36.751179,128.9409492,벌-재래종,2,8859
37.2310597,129.0577581,벌-재래종,14,536
37.4645144,127.9905951,벌-재래종,3,7056
36.4571359,129.3230741,벌-재래종,30,1925
36.4785066,129.1679121,벌-재래종,120,2743
38.2715512,128.2609359,벌-재래종,4,1079
35.2714721,127.8166414,벌-재래종,6,7011
37.5306149,127.5850392,벌-재래종,8,2136
37.5306149,127.5850392,벌-재래종,10,2136
37.5558764,127.5817911,벌-재래종,4,2517
36.8929232,127.573778,벌-개량종,15,497
37.6644484,128.4015336,벌-재래종,1,5632
37.5631941,128.3127372,벌-재래종,2,7113
37.5893415,127.4947634,벌-재래종,1,4110
34.7347053,127.0449183,벌-재래종,1,4546
35.433975,127.6260086,벌-재래종,22,4569
37.5558764,127.5817911,벌-재래종,4,2517
35.9489306,129.4207583,벌-개량종,30,4456
36.0226985,127.9082523,벌-재래종,8,319
36.4483495,128.3463791,벌-개량종,70,373
36.474209,128.362204,벌-개량종,150,373
36.0302856,127.9284691,벌-재래종,8,2217
35.433975,127.6260086,벌-재래종,42,4569
37.9993658,128.3250403,벌-재래종,3,7126
35.354195,127.5896257,벌-재래종,1,911
38.0815097,127.4702373,벌-재래종,13,6919
35.7169648,127.1893559,벌-재래종,30,4043
37.6671652,127.967412,벌-개량종,30,4266
35.1378377,128.5161745,벌-재래종,2,8841
37.8624543,128.2199006,벌-재래종,12,2626
37.9429407,127.4806675,벌-재래종,2,1630
37.497971,127.5050639,벌-재래종,1,3738
38.0834935,128.4610259,벌-재래종,6,2678
35.0735153,127.7475564,벌-재래종,16,8466
36.428639,127.8227737,벌-개량종,400,285
37.3728454,128.4052788,벌-재래종,8,6601
35.5507352,127.4770543,벌-재래종,4,8047
36.4518737,129.4294626,벌-재래종,27,431
36.2063308,127.3890182,벌-재래종,1,198
36.4518737,129.4294626,벌-재래종,40,431
37.615778,127.772086,벌-재래종,2,975
37.412114,128.2193256,벌-재래종,3,655
35.8167838,127.1984944,벌-재래종,20,2472
35.5520282,127.7022051,벌-개량종,150,6992
35.0878407,127.6114145,벌-재래종,7,7574
38.0834935,128.4610259,벌-재래종,12,2678
37.3852166,128.3913906,벌-재래종,19,6601
37.3340143,128.3903643,벌-재래종,2,6601
37.5631941,128.3127372,벌-재래종,1,7113
38.1219556,128.3101926,벌-재래종,7,2641
37.3628576,128.4182448,벌-재래종,1,6601
37.6644484,128.4015336,벌-재래종,1,5632
37.4498916,128.1823372,벌-재래종,8,6568
36.4964149,127.1175656,벌-개량종,1,2039
37.6634847,128.203636,벌-재래종,2,1799
37.4048732,128.1453026,벌-재래종,2,6568
37.4048732,128.1453026,벌-재래종,1,6568
37.9894237,128.116951,벌-재래종,1,1775
37.866666,128.3416211,벌-재래종,12,669
36.4345714,126.8771037,벌-개량종,100,1517
36.4345714,126.8771037,벌-개량종,100,1517
36.4345714,126.8771037,벌-개량종,100,1517
36.5938136,128.5571271,벌-개량종,1,3691
37.6644484,128.4015336,벌-재래종,1,5632
37.0060873,128.9653695,벌-재래종,2,1891
36.0665695,127.3792702,벌-재래종,62,196
37.8624543,128.2199006,벌-재래종,1,2626
38.1681838,128.1786506,벌-재래종,3,5977
38.1219556,128.3101926,벌-재래종,3,2641
37.8624543,128.2199006,벌-재래종,1,2626
37.6386536,128.5377634,벌-재래종,2,686
35.1934074,127.2851201,벌-재래종,1,7974
37.1225804,128.9502692,벌-재래종,2,705
37.7216909,127.722363,벌-재래종,2,4190
37.2534286,128.726245,벌-재래종,5,1875
37.9220961,128.4038892,벌-재래종,13,677
37.6644484,128.4015336,벌-재래종,1,5632
37.6644484,128.4015336,벌-재래종,3,5632
37.4332607,128.143289,벌-재래종,4,6568
37.3162611,127.8333974,벌-재래종,13,4213
35.3363846,127.9217038,벌-재래종,18,2208
35.2714721,127.8166414,벌-재래종,9,7011
35.2714721,127.8166414,벌-재래종,5,7011
35.121549,127.3677518,벌-재래종,1,193
37.3382632,127.9559957,벌-재래종,2,3041
37.7120915,127.7440552,벌-재래종,3,4190
36.9635809,127.9320017,벌-재래종,14,4249
37.0572925,128.4364592,벌-재래종,6,679
35.0436072,127.112621,벌-개량종,1,8742
35.6398854,127.3985765,벌-재래종,59,8433
35.6305091,127.3303778,벌-개량종,100,8433
35.6398854,127.3985765,벌-재래종,1,8433
37.3675393,128.1159262,벌-재래종,3,6568
37.4493679,127.1022852,벌-개량종,20,805
37.5631941,128.3127372,벌-재래종,1,7113
37.7142062,128.1824685,벌-재래종,1,1799
37.4048732,128.1453026,벌-재래종,1,6568
35.4931652,127.2389306,벌-개량종,90,176
37.4021616,127.676899,벌-재래종,20,8072
38.1681838,128.1786506,벌-재래종,16,5977
37.6644484,128.4015336,벌-재래종,2,5632
38.1922602,128.1994956,벌-재래종,1,2253
35.1849378,127.3547925,벌-재래종,4,193
36.0126583,127.8978469,벌-재래종,10,319
37.4048732,128.1453026,벌-재래종,1,6568
37.4615935,128.153439,벌-재래종,4,6568
37.7953885,128.0466435,벌-재래종,27,6562
37.4615935,128.153439,벌-재래종,3,6568
35.5798635,127.1981911,벌-개량종,50,176
37.3293308,126.918427,벌-개량종,2,4798
36.6389298,128.2201196,벌-개량종,1,2373
37.4048732,128.1453026,벌-재래종,2,6568
36.6679285,128.5584835,벌-재래종,2,391
37.6118996,128.3758853,벌-재래종,2,5632
37.6361022,128.3700029,벌-재래종,3,5632
35.2037356,127.3675408,벌-재래종,1,6888
38.0466608,128.3851271,벌-재래종,5,7126
37.6361022,128.3700029,벌-재래종,2,5632
38.0466608,128.3851271,벌-재래종,4,7126
37.8258631,128.0921497,벌-재래종,4,1048
36.6839838,126.5831038,벌-개량종,50,1974
