id,학명,종,경도,위도,관찰일자,연도,지역
003000000001125756,Castanea crenata,밤나무,35.99166667,127.0911111,2017-06-15,2017,전라북도
003000000001183695,Castanea crenata,밤나무,35.90794444,127.21935,2017-07-08,2017,전라북도
003000000001126730,Castanea crenata,밤나무,35.95833333,126.9413889,2017-06-14,2017,전라북도
003000000001073187,Castanea crenata,밤나무,35.46265,127.57225,2018-03-29,2018,전라북도
003000000001239573,Castanea crenata,밤나무,35.54355556,127.5738,2018-05-04,2018,전라북도
003000000001107399,Castanea crenata,밤나무,35.60888889,126.7977778,2018-08-15,2018,전라북도
003000000001207576,Castanea crenata,밤나무,35.56527778,127.2816667,2018-08-11,2018,전라북도
003000000001194736,Castanea crenata,밤나무,33.29280556,126.4661944,2017-10-06,2017,제주특별자치도
003000000001234189,Castanea crenata,밤나무,33.29413889,126.47725,2017-08-18,2017,제주특별자치도
003000000001231813,Castanea crenata,밤나무,33.24125,126.6100833,2017-07-06,2017,제주특별자치도
003000000001232072,Castanea crenata,밤나무,33.24363889,126.5478056,2017-07-07,2017,제주특별자치도
003000000001069181,Castanea crenata,밤나무,33.51911111,126.5474444,2017-09-29,2017,제주특별자치도
003000000001202751,Castanea crenata,밤나무,33.46505556,126.9206944,2017-07-12,2017,제주특별자치도
003000000001203721,Castanea crenata,밤나무,33.50172222,126.8998889,2017-09-26,2017,제주특별자치도
003000000001177694,Castanea crenata,밤나무,33.24175,126.6108333,2017-09-16,2017,제주특별자치도
003000000001205169,Castanea crenata,밤나무,33.54744444,126.6775,2017-04-24,2017,제주특별자치도
003000000001203289,Castanea crenata,밤나무,33.50172222,126.9022778,2017-04-21,2017,제주특별자치도
003000000001068922,Castanea crenata,밤나무,33.51719444,126.5431944,2017-07-29,2017,제주특별자치도
003000000001231691,Castanea crenata,밤나무,33.24172222,126.6086667,2017-04-08,2017,제주특별자치도
003000000001106322,Castanea crenata,밤나무,33.32914444,126.3179028,2017-06-06,2017,제주특별자치도
003000000001230181,Castanea crenata,밤나무,36.798575,126.3831919,,2014,충청남도
003000000001230180,Castanea crenata,밤나무,36.798575,126.3831919,,2014,충청남도
003000000001154701,Castanea crenata,밤나무,36.52997194,126.6135561,2014-10-04,2014,충청남도
003000000001063802,Castanea crenata,밤나무,36.76621389,126.6121111,,2014,충청남도
003000000001085453,Castanea crenata,밤나무,36.45372194,126.3361111,2014-07-13,2014,충청남도
003000000001154103,Castanea crenata,밤나무,36.56753306,126.7643139,2014-07-13,2014,충청남도
003000000001085300,Castanea crenata,밤나무,36.44127806,126.3835281,2014-07-13,2014,충청남도
