Latitude,Longitude,축종,발생두수
36.0302856,127.9284691,벌-재래종,7
34.7015684,127.0514942,벌-재래종,1
37.5019304,128.7080385,벌-재래종,10
37.753529,127.6204995,벌-재래종,3
37.763285,127.5286119,벌-재래종,1
37.6139354,128.1511451,벌-재래종,10
38.1453645,128.1335981,벌-재래종,1
35.6030592,127.596053,벌-재래종,16
34.7015684,127.0514942,벌-재래종,2
37.4048732,128.1453026,벌-재래종,2
37.017043,128.8162766,벌-재래종,3
35.4993716,128.3894438,벌-개량종,380
37.2082712,129.2480702,벌-재래종,10
36.6178391,127.60997,벌-재래종,15
37.6118996,128.3758853,벌-재래종,1
35.0987453,126.6155714,벌-재래종,2
37.763285,127.5286119,벌-재래종,5
37.5107169,127.6332539,벌-재래종,6
36.0302856,127.9284691,벌-재래종,5
36.8006931,127.1224079,벌-재래종,9
37.7803639,127.9135629,벌-재래종,6
37.7803639,127.9135629,벌-재래종,10
37.7803639,127.9135629,벌-재래종,5
37.6644484,128.4015336,벌-재래종,1
34.7015684,127.0514942,벌-재래종,1
36.372711,127.1396642,벌-재래종,5
38.2264721,128.2324778,벌-재래종,4
37.2919744,128.7445776,벌-재래종,12
35.2714721,127.8166414,벌-재래종,13
37.539564,128.1012695,벌-재래종,2
37.4048732,128.1453026,벌-재래종,1
37.4351307,128.1088047,벌-재래종,8
35.7511633,128.6213796,벌-개량종,1
34.7015684,127.0514942,벌-재래종,1
35.1378377,128.5161745,벌-재래종,2
35.123976,128.805758,벌-재래종,1
35.1183254,128.5820345,벌-재래종,21
37.6644484,128.4015336,벌-재래종,2
37.3675393,128.1159262,벌-재래종,1
35.0389006,126.9988465,벌-재래종,1
37.9429407,127.4806675,벌-재래종,1
34.9918255,127.1324743,벌-재래종,1
34.9916145,126.9880128,벌-개량종,1
34.9918255,127.1324743,벌-재래종,1
36.7877626,129.2030091,벌-재래종,62
36.8120935,128.6416647,벌-개량종,1
36.9786453,128.85124,벌-재래종,3
36.9786453,128.85124,벌-재래종,25
36.7858857,126.4598336,벌-재래종,13
35.8134957,127.2866581,벌-재래종,11
37.4332607,128.143289,벌-재래종,2
37.539564,128.1012695,벌-재래종,5
37.7754348,128.1419051,벌-재래종,2
36.751179,128.9409492,벌-재래종,2
37.2310597,129.0577581,벌-재래종,14
37.4645144,127.9905951,벌-재래종,3
36.4571359,129.3230741,벌-재래종,30
36.4785066,129.1679121,벌-재래종,120
38.2715512,128.2609359,벌-재래종,4
35.2714721,127.8166414,벌-재래종,6
37.5306149,127.5850392,벌-재래종,8
37.5306149,127.5850392,벌-재래종,10
37.5558764,127.5817911,벌-재래종,4
36.8929232,127.573778,벌-개량종,15
37.6644484,128.4015336,벌-재래종,1
37.5631941,128.3127372,벌-재래종,2
37.5893415,127.4947634,벌-재래종,1
34.7347053,127.0449183,벌-재래종,1
35.433975,127.6260086,벌-재래종,22
37.5558764,127.5817911,벌-재래종,4
35.9489306,129.4207583,벌-개량종,30
36.0226985,127.9082523,벌-재래종,8
36.4483495,128.3463791,벌-개량종,70
36.474209,128.362204,벌-개량종,150
36.0302856,127.9284691,벌-재래종,8
35.433975,127.6260086,벌-재래종,42
37.9993658,128.3250403,벌-재래종,3
35.354195,127.5896257,벌-재래종,1
38.0815097,127.4702373,벌-재래종,13
35.7169648,127.1893559,벌-재래종,30
37.6671652,127.967412,벌-개량종,30
35.1378377,128.5161745,벌-재래종,2
37.8624543,128.2199006,벌-재래종,12
37.9429407,127.4806675,벌-재래종,2
37.497971,127.5050639,벌-재래종,1
38.0834935,128.4610259,벌-재래종,6
35.0735153,127.7475564,벌-재래종,16
36.428639,127.8227737,벌-개량종,400
37.3728454,128.4052788,벌-재래종,8
35.5507352,127.4770543,벌-재래종,4
36.4518737,129.4294626,벌-재래종,27
36.2063308,127.3890182,벌-재래종,1
36.4518737,129.4294626,벌-재래종,40
37.615778,127.772086,벌-재래종,2
37.412114,128.2193256,벌-재래종,3
35.8167838,127.1984944,벌-재래종,20
35.5520282,127.7022051,벌-개량종,150
35.0878407,127.6114145,벌-재래종,7
38.0834935,128.4610259,벌-재래종,12
37.3852166,128.3913906,벌-재래종,19
37.3340143,128.3903643,벌-재래종,2
37.5631941,128.3127372,벌-재래종,1
38.1219556,128.3101926,벌-재래종,7
37.3628576,128.4182448,벌-재래종,1
37.6644484,128.4015336,벌-재래종,1
37.4498916,128.1823372,벌-재래종,8
36.4964149,127.1175656,벌-개량종,1
37.6634847,128.203636,벌-재래종,2
37.4048732,128.1453026,벌-재래종,2
37.4048732,128.1453026,벌-재래종,1
37.9894237,128.116951,벌-재래종,1
37.866666,128.3416211,벌-재래종,12
36.4345714,126.8771037,벌-개량종,100
36.4345714,126.8771037,벌-개량종,100
36.4345714,126.8771037,벌-개량종,100
36.5938136,128.5571271,벌-개량종,1
37.6644484,128.4015336,벌-재래종,1
37.0060873,128.9653695,벌-재래종,2
36.0665695,127.3792702,벌-재래종,62
37.8624543,128.2199006,벌-재래종,1
38.1681838,128.1786506,벌-재래종,3
38.1219556,128.3101926,벌-재래종,3
37.8624543,128.2199006,벌-재래종,1
37.6386536,128.5377634,벌-재래종,2
35.1934074,127.2851201,벌-재래종,1
37.1225804,128.9502692,벌-재래종,2
37.7216909,127.722363,벌-재래종,2
37.2534286,128.726245,벌-재래종,5
37.9220961,128.4038892,벌-재래종,13
37.6644484,128.4015336,벌-재래종,1
37.6644484,128.4015336,벌-재래종,3
37.4332607,128.143289,벌-재래종,4
37.3162611,127.8333974,벌-재래종,13
35.3363846,127.9217038,벌-재래종,18
