Latitude,Longitude,축종,발생두수,ID_tree,종,카운트,ID
34.4608019,127.4680798,벌-재래종,1,213,갈참나무,1,281
35.1749839,126.5409272,벌-재래종,3,447,감나무,1,282
34.7026119,127.1659258,벌-재래종,1,1550,광대싸리,1,283
34.7026119,127.1659258,벌-재래종,1,1550,광대싸리,1,284
37.6544392,128.7821778,벌-재래종,1,6653,아까시나무,2,285
37.7267059,126.9116461,벌-재래종,1,4805,산초나무,1,286
34.9730223,127.1427854,벌-재래종,1,8743,초피나무,1,287
37.5306149,127.5850392,벌-재래종,3,2136,굴참나무,1,288
34.7026119,127.1659258,벌-재래종,1,1550,광대싸리,1,289
35.8867998,128.4910476,벌-재래종,120,5601,상수리나무,1,290
35.8867998,128.4910476,벌-재래종,120,5601,상수리나무,1,291
37.9529831,128.1965588,벌-재래종,1,654,개다래,1,292
37.245738,129.0698695,벌-재래종,3,1433,고욤나무,1,293
38.0087006,128.1617215,벌-재래종,4,5984,신갈나무,1,294
37.5893415,127.4947634,벌-재래종,2,4110,붉나무,1,295
37.5893415,127.4947634,벌-재래종,1,4110,붉나무,1,296
37.763285,127.5286119,벌-재래종,10,926,개옻나무,1,297
36.4837622,128.8900474,벌-재래종,1,7407,유채,1,298
37.0060873,128.9653695,벌-재래종,1,1891,광대싸리,1,299
37.0060873,128.9653695,벌-재래종,1,1891,광대싸리,1,300
36.6648281,127.6731019,벌-재래종,2,6490,아까시나무,1,301
36.9635809,127.9320017,벌-재래종,5,4249,붉나무,2,302
35.3338895,129.1732717,벌-재래종,3,1437,고욤나무,1,303
34.7015684,127.0514942,벌-재래종,1,1533,광대싸리,1,304
37.50515,128.6013888,벌-재래종,3,2684,다래,1,305
37.6011843,128.2265769,벌-재래종,1,656,개다래,1,306
36.3645223,129.3873596,벌-재래종,110,431,갈참나무,1,307
35.1849378,127.3547925,벌-재래종,1,193,갈참나무,1,308
37.4431918,128.8718084,벌-재래종,2,701,개다래,1,309
37.0060873,128.9653695,벌-재래종,2,1891,광대싸리,1,310
36.9786453,128.85124,벌-재래종,2,1882,광대싸리,1,311
37.3728454,128.4052788,벌-재래종,2,6601,아까시나무,1,312
37.6361022,128.3700029,벌-재래종,1,5632,생열귀나무,1,313
37.6110372,128.0775996,벌-재래종,1,8128,졸참나무,1,314
37.3675393,128.1159262,벌-재래종,2,6568,아까시나무,2,315
37.6192937,127.5376046,벌-재래종,1,2517,다래,1,316
37.6622733,128.5594295,벌-재래종,6,7167,애기똥풀,1,317
37.4515774,127.654413,벌-재래종,4,5915,신갈나무,1,318
38.0834935,128.4610259,벌-재래종,12,2678,다래,1,319
37.6784735,127.9151229,벌-재래종,2,3597,밤나무,2,320
36.3735292,128.9007835,벌-재래종,2,7407,유채,1,321
36.5211412,128.555425,벌-재래종,1,3691,밤나무,1,322
34.7040567,127.1445908,벌-재래종,1,1550,광대싸리,1,323
