Source,Target,Weight
3142,3142,0.0
3142,3142,0.0
3142,3142,0.0
2517,2517,0.0
2517,2517,0.0
2217,2217,0.0
2217,2217,0.0
2217,2217,0.0
2217,2217,0.0
1533,1533,0.0
1533,1533,0.0
1533,1533,0.0
1533,1533,0.0
2712,2712,0.0
926,926,0.0
926,926,0.0
7082,7082,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
597,597,0.0
1533,1533,0.0
1533,1533,0.0
1533,1533,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
8877,8877,0.0
5632,5632,0.0
926,926,0.0
2136,2136,0.0
2217,2217,0.0
2217,2217,0.0
2217,2217,0.0
636,636,0.0
636,636,0.0
636,636,0.0
636,636,0.0
636,636,0.0
636,636,0.0
636,636,0.0
636,636,0.0
636,636,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
1533,1533,0.0
1533,1533,0.0
7011,7011,0.0
7011,7011,0.0
7011,7011,0.0
7011,7011,0.0
7082,7082,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
1533,1533,0.0
8841,8841,0.0
8841,8841,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
6568,6568,0.0
6809,6809,0.0
6809,6809,0.0
6809,6809,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
8743,8743,0.0
8743,8743,0.0
8743,8743,0.0
718,718,0.0
718,718,0.0
718,718,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
2472,2472,0.0
2472,2472,0.0
6568,6568,0.0
1925,1925,0.0
2743,2743,0.0
2743,2743,0.0
7011,7011,0.0
7011,7011,0.0
7011,7011,0.0
2136,2136,0.0
2517,2517,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
4546,4546,0.0
4569,4569,0.0
4569,4569,0.0
4569,4569,0.0
2217,2217,0.0
2217,2217,0.0
4569,4569,0.0
4569,4569,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
911,911,0.0
911,911,0.0
911,911,0.0
911,911,0.0
911,911,0.0
911,911,0.0
6919,6919,0.0
6919,6919,0.0
4043,4043,0.0
4043,4043,0.0
8841,8841,0.0
2626,2626,0.0
2626,2626,0.0
2626,2626,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
3738,3738,0.0
3738,3738,0.0
2678,2678,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
6601,6601,0.0
431,431,0.0
431,431,0.0
431,431,0.0
431,431,0.0
431,431,0.0
2472,2472,0.0
2472,2472,0.0
7574,7574,0.0
7574,7574,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
2641,2641,0.0
2641,2641,0.0
2641,2641,0.0
6601,6601,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
1799,1799,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
1775,1775,0.0
669,669,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
2626,2626,0.0
2626,2626,0.0
5977,5977,0.0
5977,5977,0.0
5977,5977,0.0
5977,5977,0.0
2641,2641,0.0
2641,2641,0.0
2626,2626,0.0
686,686,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
4190,4190,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
677,677,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
4213,4213,0.0
2208,2208,0.0
7011,7011,0.0
7011,7011,0.0
7011,7011,0.0
193,193,0.0
193,193,0.0
193,193,0.0
3041,3041,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
4249,4249,0.0
4249,4249,0.0
4249,4249,0.0
8433,8433,0.0
8433,8433,0.0
8433,8433,0.0
7113,7113,0.0
7113,7113,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
8072,8072,0.0
5977,5977,0.0
5977,5977,0.0
5977,5977,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
2253,2253,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
391,391,0.0
5632,5632,0.0
5632,5632,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
5632,5632,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
2472,2472,0.0
2259,2259,0.0
7113,7113,0.0
2550,2550,0.0
2550,2550,0.0
1891,1891,0.0
1891,1891,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
431,431,0.0
4115,4115,0.004796511317607662
4115,4115,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1875,1875,0.0
1875,1875,0.0
6568,6568,0.0
6568,6568,0.0
193,193,0.0
193,193,0.0
6809,6809,0.0
6118,6118,0.0
6118,6118,0.0
6809,6809,0.0
663,663,0.0
6568,6568,0.0
1431,1431,0.0
2550,2550,0.0
2743,2743,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
5632,5632,0.0
5632,5632,0.0
5632,5632,0.0
5977,5977,0.0
5977,5977,0.0
6828,6828,0.0
6828,6828,0.0
6828,6828,0.0
4043,4043,0.0
1167,1167,0.0
1167,1167,0.0
2076,2076,0.0
6828,6828,0.0
6828,6828,0.0
1550,1550,0.0
7551,7551,0.0
1167,1167,0.0
193,193,0.0
1882,1882,0.0
1882,1882,0.0
1882,1882,0.0
3704,3704,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
1799,1799,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
3704,3704,0.0
3704,3704,0.0
1882,1882,0.0
1882,1882,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7974,7974,0.0
7974,7974,0.0
7974,7974,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
1162,1162,0.0
1162,1162,0.0
1162,1162,0.0
6118,6118,0.0
8859,8859,0.0
8859,8859,0.0
7974,7974,0.0
7974,7974,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
648,648,0.0
