,nearby_id_1,nearby_id_2,nearby_id_3,nearby_id_4,nearby_id_5,nearby_id_6,nearby_id_7,nearby_id_8,nearby_id_9,nearby_id_10,nearby_id_11,nearby_id_12,nearby_id_13,nearby_id_14,nearby_id_15,nearby_id_16,nearby_id_17,nearby_id_18,nearby_id_19,nearby_id_20,nearby_id_21,nearby_id_22,nearby_id_23,nearby_id_24,nearby_id_25,nearby_id_26,nearby_id_27,nearby_id_28
136,67.0,127.0,335.0,368.0,803.0,,,,,,,,,,,,,,,,,,,,,,,
137,35.0,36.0,225.0,418.0,1144.0,,,,,,,,,,,,,,,,,,,,,,,
138,695.0,724.0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,8.0,13.0,14.0,70.0,318.0,497.0,650.0,684.0,759.0,1081.0,,,,,,,,,,,,,,,,,,
140,28.0,102.0,175.0,547.0,1113.0,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,71.0,362.0,673.0,690.0,838.0,847.0,955.0,1048.0,,,,,,,,,,,,,,,,,,,,
143,1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,278.0,549.0,,,,,,,,,,,,,,,,,,,,,,,,,,
145,147.0,327.0,403.0,537.0,539.0,541.0,551.0,982.0,,,,,,,,,,,,,,,,,,,,
146,146.0,327.0,403.0,537.0,539.0,541.0,551.0,982.0,,,,,,,,,,,,,,,,,,,,
147,359.0,1017.0,1048.0,,,,,,,,,,,,,,,,,,,,,,,,,
148,132.0,229.0,265.0,315.0,346.0,375.0,395.0,396.0,402.0,412.0,460.0,462.0,463.0,481.0,493.0,496.0,503.0,507.0,532.0,543.0,608.0,635.0,,,,,,
149,32.0,47.0,74.0,203.0,204.0,404.0,440.0,717.0,745.0,816.0,920.0,921.0,940.0,941.0,,,,,,,,,,,,,,
150,172.0,174.0,196.0,243.0,276.0,312.0,444.0,454.0,455.0,458.0,632.0,633.0,634.0,638.0,699.0,749.0,945.0,1095.0,,,,,,,,,,
151,78.0,84.0,118.0,161.0,490.0,,,,,,,,,,,,,,,,,,,,,,,
152,113.0,239.0,306.0,357.0,976.0,989.0,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,34.0,108.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,
155,870.0,1015.0,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,
156,34.0,108.0,155.0,,,,,,,,,,,,,,,,,,,,,,,,,
157,779.0,956.0,,,,,,,,,,,,,,,,,,,,,,,,,,
158,50.0,104.0,315.0,346.0,402.0,493.0,1076.0,,,,,,,,,,,,,,,,,,,,,
159,240.0,249.0,258.0,356.0,505.0,882.0,948.0,950.0,,,,,,,,,,,,,,,,,,,,
160,78.0,84.0,118.0,152.0,490.0,,,,,,,,,,,,,,,,,,,,,,,
161,1.0,5.0,22.0,407.0,782.0,1078.0,1159.0,,,,,,,,,,,,,,,,,,,,,
162,119.0,167.0,189.0,208.0,233.0,234.0,279.0,280.0,283.0,284.0,289.0,323.0,324.0,328.0,341.0,342.0,343.0,354.0,363.0,564.0,740.0,1013.0,,,,,,
163,123.0,126.0,129.0,182.0,271.0,477.0,531.0,757.0,887.0,,,,,,,,,,,,,,,,,,,
164,3.0,81.0,83.0,251.0,272.0,325.0,372.0,470.0,498.0,500.0,556.0,600.0,769.0,786.0,995.0,1016.0,1101.0,1105.0,1106.0,1107.0,1116.0,1120.0,1148.0,1149.0,1157.0,,,
165,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,119.0,163.0,189.0,208.0,233.0,234.0,279.0,280.0,283.0,284.0,289.0,323.0,324.0,328.0,341.0,342.0,343.0,354.0,363.0,564.0,740.0,1013.0,,,,,,
167,115.0,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,
168,115.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,
169,24.0,91.0,114.0,260.0,441.0,686.0,697.0,721.0,733.0,761.0,1111.0,,,,,,,,,,,,,,,,,
170,56.0,65.0,92.0,256.0,266.0,334.0,573.0,596.0,620.0,674.0,1005.0,,,,,,,,,,,,,,,,,
